Time,Mean measurement error,Mean measurement and model error,Mean estimated distance u-s1,Distance u-s1,All u_x,All u_y,All u_z,All u_hat_x,All u_hat_y,All u_hat_z
70,528.2662604086875,528.2662604086875,1472.4501608450844,1715.0532849900487,5626827.681860409,2989276.3168069934,-2618016.597527813,5626904.625956356,2989334.167281187,-2617782.194552427
71,522.553387207119,522.553387207119,1457.8643307993232,1715.217462982436,5629841.266238657,2989665.282581286,-2611044.1835851986,5629922.263084295,2989725.9253127603,-2610797.4200765593
72,517.6579628244551,517.6579628244551,1490.0008049102253,1715.3818783425402,5632847.982557467,2990050.60113831,-2604068.5754304314,5632919.033728997,2990104.3133628406,-2603851.5318156723
73,511.07066174252463,511.07066174252463,1476.4902059294006,1715.5465298334566,5635847.827066452,2990432.271964194,-2597089.781558413,5635922.918797809,2990488.8140737014,-2596860.780841066
74,512.8610872584006,512.8610872584006,1489.778191348874,1715.7114166336598,5638840.796023121,2990810.294549481,-2590107.8104692367,5638911.887011939,2990864.333360819,-2589889.415671896
75,511.8590658166419,511.8590658166419,1484.646344562229,1715.8765447560652,5641827.005695949,2991184.68337817,-2583122.3895663675,5641899.203015855,2991239.713688554,-2582900.032370311
76,503.520626048409,503.520626048409,1493.4736205877937,1716.0419001159469,5644806.21207829,2991555.407825103,-2576134.0894294847,5644875.677177107,2991608.3029619283,-2575919.9645473505
77,497.9979348141535,497.9979348141535,1497.5776249998332,1716.207487180745,5647778.531732196,2991922.4825300276,-2569142.6375975395,5647845.852433444,2991973.866187214,-2568932.9068714217
78,504.77408117458634,504.77408117458634,1481.198012733044,1716.373307810062,5650743.9609483015,2992285.9070013235,-2562148.0425877934,5650816.152952112,2992341.2908999235,-2561923.1793463593
79,512.081448171336,512.081448171336,1479.5904315394102,1716.5393588684465,5653702.496027007,2992645.6807520115,-2555150.3129182826,5653775.389601811,2992701.712618845,-2554922.384524942
80,498.77447241114925,498.77447241114925,1501.583066235864,1716.7056402906928,5656654.133275555,2993001.8032994014,-2548149.4571147533,5656719.465847582,2993052.117664476,-2547942.2760116598
81,496.92104912392955,496.92104912392955,1494.4410317858924,1716.87215127863,5659598.86901094,2993354.2741654357,-2541145.4837037567,5659667.112375922,2993407.1984924856,-2540928.709863107
82,495.13130778188855,495.13130778188855,1486.6279213559344,1717.0388974678062,5662536.81761749,2993703.106837097,-2534138.119237074,5662606.615990082,2993757.1138992244,-2533915.954304696
83,486.11481148985223,486.11481148985223,1484.1493320001757,1717.2058654379425,5665467.73903078,2994048.2727769134,-2527127.936087766,5665538.05856612,2994102.981810134,-2526905.1352503784
84,485.3158082759045,485.3158082759045,1486.3910129232995,1717.373059320945,5668391.747929982,2994389.7856277856,-2520114.660940231,5668461.032865075,2994444.4131359626,-2519893.886159585
85,488.96218232044794,488.96218232044794,1480.1309548090676,1717.5404805926648,5671308.840665059,2994727.6449294835,-2513098.3023385825,5671379.958623247,2994783.278615618,-2512869.5072287023
86,488.5889227740042,488.5889227740042,1496.6329787674974,1717.7081268688994,5674219.01359457,2995061.85022628,-2506078.8688305323,5674285.766174153,2995114.53188971,-2505865.4271688247
87,483.23715735923054,483.23715735923054,1478.8582247586396,1717.8759980764582,5677122.2630849965,2995392.401066866,-2499056.36896891,5677193.07200027,2995448.1306358133,-2498828.473131251
88,480.7270528555055,480.7270528555055,1499.1389182633077,1718.0440930210432,5680018.5855120085,2995719.2970044995,-2492030.811308702,5680083.168495572,2995770.5390217756,-2491822.1906703394
89,482.6662786182502,482.6662786182502,1496.8788332606775,1718.2124104764785,5682907.977258656,2996042.5375968036,-2485002.204411404,5682973.7958845245,2996095.349463735,-2484788.4248594264
90,481.4964688093075,481.4964688093075,1488.8746701947387,1718.380956937687,5685790.550549182,2996362.1351904497,-2477970.27387127,5685856.96273872,2996415.3592164796,-2477750.332589385
91,478.58426651362106,478.58426651362106,1503.4308395444739,1718.549718055183,5688666.069841434,2996678.063636066,-2470935.5940717477,5688728.155811004,2996727.7672813055,-2470730.616886627
92,475.6560457980324,475.6560457980324,1504.6493477506715,1718.7186983878416,5691534.64765545,2996990.3354363656,-2463897.8907374977,5691596.0230798405,2997039.758575544,-2463693.826405913
93,479.4340583784706,479.4340583784706,1494.2905678564484,1718.8878990339742,5694396.280407868,2997298.95016688,-2456857.172446164,5694462.118017855,2997351.6314655687,-2456640.589573071
94,472.17500701865526,472.17500701865526,1509.218934727929,1719.0573183944734,5697250.964524968,2997603.907407756,-2449813.447776411,5697311.779732098,2997653.3666449855,-2449611.5191425285
95,466.494754560468,466.494754560468,1501.1924400424293,1719.2269559829635,5700098.696440764,2997905.2067435486,-2442766.7253125957,5700160.608174117,2997955.7129424275,-2442558.825381378
96,479.61781577725645,479.61781577725645,1493.2257104582823,1719.396809838824,5702939.472598582,2998202.8477633847,-2435717.0136408154,5703004.016124351,2998255.441351524,-2435501.2426455575
97,460.8188503402239,460.8188503402239,1499.8807640409148,1719.5668868553291,5705773.403322863,2998496.8418150316,-2428664.0375408735,5705835.1041922355,2998547.422117237,-2428455.4311069194
98,461.7390133491478,461.7390133491478,1507.1191045057435,1719.7371737532383,5708600.257045619,2998787.1648407714,-2421608.37311446,5708659.6703518955,2998835.9675795045,-2421407.0975324577
99,466.18956952994074,466.18956952994074,1499.6704531366092,1719.9076735915824,5711420.144389029,2999073.828344633,-2414549.7452670475,5711481.9043075275,2999124.852003221,-2414340.0398408407
100,463.58271142559937,463.58271142559937,1509.3109567934112,1720.0783874549707,5714233.0618297225,2999356.831933632,-2407488.1626016726,5714293.239862675,2999406.51805426,-2407283.2118983916
101,459.76513217057317,459.76513217057317,1509.5738714684398,1720.2493141075058,5717039.005852687,2999636.1752192634,-2400423.63372557,5717097.693025072,2999684.904011519,-2400223.646914301
102,453.9716339014038,453.9716339014038,1517.0412932340034,1720.420452323303,5719837.972951529,2999911.857817522,-2393356.1672494397,5719895.453663891,2999959.6654080786,-2393160.0271900618
103,453.1286486376495,453.1286486376495,1508.909376931133,1720.5918016383735,5722629.959628487,3000183.879348908,-2386285.771787463,5722688.319442501,3000232.4002879607,-2386083.032259462
104,453.1349580277743,453.1349580277743,1509.420606719865,1720.7633697947026,5725415.074303255,3000452.2501617293,-2379212.1713170754,5725472.466272318,3000500.4083944443,-2379011.3343220265
105,457.5864016436782,457.5864016436782,1498.709720748137,1720.9351387486427,5728193.0893955855,3000716.9482914684,-2372135.94362521,5728254.268227027,3000768.5531133264,-2371922.7712618886
106,451.02487078820894,451.02487078820894,1507.257093351762,1721.107117010733,5730964.113622787,3000977.9842426935,-2365056.812815352,5731022.62434718,3001027.292661088,-2364852.801230127
107,451.31359525536067,451.31359525536067,1513.264678149884,1721.2793018325879,5733728.143521563,3001235.357653917,-2357974.7875157567,5733784.358598095,3001282.989591096,-2357777.1087454623
108,445.3220670848542,445.3220670848542,1508.8929334076724,1721.4516946313624,5736485.1756361285,3001489.0681680487,-2350889.8763609976,5736542.6607999215,3001537.853302244,-2350686.4432002557
109,437.5787389590241,437.5787389590241,1521.7934314518777,1721.6242938039934,5739235.206519795,3001739.1154325516,-2343802.0879879696,5739288.5853678025,3001784.7633025832,-2343610.9890048765
110,451.9450535639976,451.9450535639976,1501.4711010869705,1721.7970969679752,5741978.23273453,3001985.499099392,-2336711.431036936,5742037.240107957,3002035.971736166,-2336501.7667526104
111,439.35097586728756,439.35097586728756,1520.73370917453,1721.9701043827033,5744714.250850294,3002228.2188249836,-2329617.914153334,5744767.741941201,3002274.500311911,-2329425.7541585104
112,443.674521212483,443.674521212483,1531.2421027381688,1722.143323130675,5747443.367101718,3002467.283814534,-2322521.2604179913,5747494.698532241,3002511.7032077387,-2322337.721100011
113,437.1986487812369,437.1986487812369,1522.021355846479,1722.3167376942536,5750165.358482034,3002702.6744974847,-2315422.0495042293,5750218.757202806,3002748.7890517307,-2315230.053231275
114,443.39164841216115,443.39164841216115,1506.4810134527368,1722.4903528171808,5752880.331525431,3002934.400235502,-2308320.004614077,5752937.149808247,3002983.893219575,-2308113.3403757284
115,439.7861854949485,439.7861854949485,1522.7016239964528,1722.6641691650289,5755588.282835879,3003162.4607029757,-2301215.134408223,5755641.2398997415,3003208.4005883285,-2301021.96278731
116,432.73934862632706,432.73934862632706,1524.3961754180816,1722.8381851182387,5758289.209026766,3003386.8555788766,-2294107.4475488244,5758341.099962162,3003432.2709103334,-2293918.4025379624
117,425.4761990786598,425.4761990786598,1529.3542286087209,1723.0124009274928,5760983.106719191,3003607.5845466,-2286996.952703921,5761033.595937747,3003651.9957116917,-2286811.838453566
118,424.3918622786316,424.3918622786316,1530.3358314601119,1723.1868146330619,5763669.972543367,3003824.6472940906,-2279883.6585437832,5763719.603675729,3003868.5616742643,-2279700.370879201
119,420.51496982519376,420.51496982519376,1532.0637373514567,1723.3614325642702,5766349.910815128,3004038.0520256767,-2272767.2873822027,5766399.367426676,3004081.9589023087,-2272583.76847537
120,419.4232278412837,419.4232278412837,1531.8972175279457,1723.5362398340094,5769022.702544373,3004247.781266994,-2265648.420505515,5769070.962526906,3004290.6245111525,-2265466.1551678404
121,429.2499235290265,429.2499235290265,1523.8605105662805,1723.7112435447114,5771688.452346927,3004453.843378879,-2258526.7803476527,5771739.886717079,3004499.9740755716,-2258334.4582943204
122,418.96472059391874,418.96472059391874,1534.8108864109765,1723.8864416598892,5774347.156887182,3004656.238067274,-2251402.37559375,5774394.657859779,3004699.1681787972,-2251222.3587841117
123,411.21180714505635,411.21180714505635,1533.7666176272821,1724.0618341146767,5776998.812838116,3004854.965042628,-2244275.214932604,5777046.437305765,3004897.9964719517,-2244093.4709899263
